,generation,best_fitness,min_fitness,average_fitness,std_fitness,test_fitness,experiment_id,repetition,config,count_better,count_worse
70,20,0.16837957998114989,1.356957979045803e-05,0.03923768801429554,0.0343195927190382,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
71,21,0.16837957998114989,0.0,0.04257053650253315,0.036558273393415275,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
72,22,0.16837957998114989,7.256214972115208e-05,0.04816110417398242,0.03400528007672362,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
73,23,0.16837957998114989,4.09297286671355e-05,0.04642301905730426,0.037053736591868135,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
74,24,0.16837957998114989,2.5383490428103392e-05,0.049137525579703606,0.03545454042969756,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
75,25,0.16837957998114989,6.232449021384381e-16,0.052869096246327504,0.04011905026322885,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
76,26,0.16837957998114989,0.00020485392158005666,0.0563841903213998,0.03853526180649559,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
77,27,0.16837957998114989,5.514778287443675e-06,0.05911393029988447,0.04063078750234959,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
78,28,0.16837957998114989,0.00031796836904549107,0.06451715563477099,0.038004333575855954,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
79,29,0.16837957998114989,6.232449021384381e-16,0.06726465112863597,0.04310059664506966,0.06876466356517148,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
